variant,nB,Rmax,baimult,inject,n_persp_spp,A_BA,B_BA,C_BA,D_BA,B_BA_ci,D_BA_ci,A_TPH,B_TPH,C_TPH,D_TPH,B_TPH_ci,D_TPH_ci,A_QMD,B_QMD,C_QMD,D_QMD,B_QMD_ci,D_QMD_ci,A_VOL,B_VOL,C_VOL,D_VOL,B_VOL_ci,D_VOL_ci
ne,194,42.198,1.0,1,27,9.2,8.1,8.9,8.0,"[+6.2,+10.1]","[+6.1,+9.9]",-13.0,-11.2,-12.7,-10.7,"[-15.7,-6.4]","[-15.3,-6.0]",11.0,1.1,11.0,1.0,"[-2.4,+4.8]","[-2.5,+4.7]",19.9,19.4,19.5,19.1,"[+16.5,+22.2]","[+16.2,+21.9]"
acd,265,100.525,0.8,1,24,7.5,6.8,6.7,7.6,"[+5.3,+8.3]","[+6.1,+9.1]",-19.1,-8.8,-18.2,-9.2,"[-13.0,-4.1]","[-13.4,-4.6]",10.1,-4.7,9.4,-3.9,"[-7.9,-1.7]","[-7.1,-0.8]",14.5,10.9,13.0,12.6,"[+8.7,+13.1]","[+10.4,+14.9]"
sn,140,82.548,0.7,1,25,12.2,9.4,19.7,20.4,"[+4.6,+14.1]","[+15.4,+25.5]",-13.6,-3.7,-16.0,-8.1,"[-10.7,+3.8]","[-14.8,-0.9]",11.2,-1.8,16.6,5.7,"[-7.1,+3.6]","[-0.2,+11.9]",7.9,2.3,17.8,17.3,"[-4.1,+9.4]","[+10.6,+25.2]"
ls,70,42.876,0.7,0,24,12.6,7.2,12.7,9.7,"[+3.2,+11.5]","[+5.6,+14.2]",-0.5,-6.7,-0.5,-8.0,"[-15.5,+2.2]","[-16.5,+0.7]",6.9,5.9,6.9,7.9,"[+0.9,+12.4]","[+2.8,+14.4]",17.8,12.3,18.0,17.1,"[+6.4,+19.5]","[+11.1,+24.8]"
cs,53,26.336,0.7,0,17,19.0,15.1,20.3,19.2,"[+9.0,+23.0]","[+12.9,+27.3]",2.5,1.3,2.1,-0.0,"[-8.5,+12.8]","[-9.7,+11.3]",11.0,10.1,11.9,12.8,"[+0.1,+21.4]","[+2.4,+24.2]",24.4,19.9,25.9,25.3,"[+9.4,+32.1]","[+14.5,+38.0]"
ie,68,19.397,1.0,1,14,-5.4,-4.9,-2.7,-2.8,"[-8.1,-1.1]","[-5.9,+0.7]",-28.4,-15.4,-28.2,-15.5,"[-24.5,-3.9]","[-24.6,-4.1]",15.8,-5.3,17.1,-4.3,"[-11.1,+0.6]","[-10.1,+1.4]",-7.2,-7.9,-4.3,-5.7,"[-14.8,-0.8]","[-12.0,+1.1]"
kt,80,23.699,1.0,1,8,14.0,7.6,6.8,2.6,"[+3.3,+12.1]","[-1.2,+6.5]",-28.7,-15.5,-29.3,-15.1,"[-26.8,-3.1]","[-26.4,-2.6]",21.5,-6.1,17.8,-8.8,"[-12.0,+0.7]","[-14.5,-2.1]",8.5,0.8,1.7,-4.2,"[-4.9,+6.7]","[-9.5,+1.1]"
ci,88,14.686,1.0,1,10,-0.5,-2.1,-1.4,-2.4,"[-6.0,+2.3]","[-6.1,+1.8]",-29.7,-21.0,-29.8,-21.1,"[-29.8,-11.7]","[-30.0,-11.8]",13.1,-5.3,12.7,-5.7,"[-10.4,+0.2]","[-10.6,-0.2]",-12.0,-13.6,-11.9,-12.8,"[-19.4,-7.4]","[-18.4,-7.0]"
bm,82,16.766,1.0,1,9,1.5,3.9,-1.2,1.9,"[-0.5,+8.8]","[-1.9,+6.2]",-25.9,-16.5,-24.3,-14.3,"[-25.4,-6.6]","[-22.9,-4.4]",23.7,4.0,21.0,1.8,"[-4.4,+14.6]","[-6.2,+12.2]",-10.7,-6.8,-11.6,-7.4,"[-11.6,-1.5]","[-12.0,-2.6]"
cr,23,26.815,1.0,1,13,23.2,20.3,18.9,16.9,"[+11.8,+32.7]","[+8.7,+28.9]",13.0,17.1,14.3,20.1,"[-1.4,+49.3]","[+2.0,+51.5]",2.8,-13.0,0.6,-15.2,"[-20.4,-4.3]","[-22.4,-6.8]",29.5,27.0,25.0,23.2,"[+15.2,+43.6]","[+11.8,+39.0]"
tt,77,25.607,1.0,1,5,-3.0,-0.5,-2.5,0.0,"[-4.6,+4.0]","[-4.1,+4.6]",-17.1,4.9,-17.2,4.8,"[-5.2,+16.5]","[-5.3,+16.4]",12.5,-11.1,12.9,-10.8,"[-15.0,-6.9]","[-14.7,-6.6]",-13.8,-11.4,-13.4,-11.0,"[-15.9,-7.2]","[-15.5,-6.7]"
ut,14,26.436,1.0,1,11,39.9,35.0,40.2,35.2,"[+13.8,+70.8]","[+14.1,+71.1]",-8.2,-11.8,-8.2,-11.9,"[-27.9,+21.5]","[-27.9,+21.3]",18.7,-0.8,18.9,-0.7,"[-14.5,+20.9]","[-14.3,+21.3]",51.3,50.3,52.7,51.4,"[+9.0,+147.2]","[+9.2,+150.0]"
ca,48,14.701,1.0,1,17,5.4,3.3,6.6,4.2,"[-0.8,+7.9]","[+0.1,+9.0]",-2.2,-2.0,-2.2,-2.1,"[-14.4,+14.3]","[-14.7,+13.9]",4.8,-10.9,5.4,-10.2,"[-17.1,-3.6]","[-16.6,-2.8]",11.6,10.7,12.9,11.9,"[+1.2,+20.8]","[+2.0,+22.2]"
ws,48,14.701,1.0,1,16,3.2,4.0,4.2,5.0,"[-0.2,+9.0]","[+0.6,+10.0]",-2.2,3.9,-2.5,3.5,"[-9.8,+19.8]","[-10.0,+19.3]",6.3,-11.1,6.5,-10.8,"[-17.2,-3.8]","[-17.1,-3.6]",-3.8,-2.6,-2.9,-1.5,"[-8.2,+4.2]","[-7.1,+5.2]"
nc,60,17.838,1.0,1,9,6.1,7.9,5.4,7.5,"[+2.8,+14.4]","[+2.5,+14.0]",-16.3,-3.8,-16.3,-3.6,"[-19.0,+13.8]","[-18.7,+14.0]",20.3,-5.9,19.8,-6.4,"[-16.7,+4.5]","[-17.0,+4.0]",-7.8,-4.4,-8.2,-4.7,"[-9.1,+2.1]","[-9.4,+1.8]"
so,60,17.838,1.0,1,16,-4.6,-1.4,0.0,3.0,"[-6.1,+4.7]","[-2.0,+9.7]",-15.9,1.9,-19.6,-2.4,"[-14.1,+20.5]","[-17.9,+15.1]",13.3,-12.9,17.6,-9.2,"[-22.7,-3.3]","[-19.3,+1.1]",-11.2,-8.7,-7.3,-4.6,"[-14.0,-2.1]","[-9.1,+1.6]"
ec,82,16.766,1.0,1,16,-12.4,-0.7,-11.2,1.6,"[-4.5,+3.4]","[-2.1,+5.6]",-32.1,-11.7,-36.1,-14.7,"[-20.1,-1.9]","[-23.6,-4.6]",23.0,-4.7,26.3,-2.4,"[-9.5,+0.0]","[-7.3,+2.4]",-19.6,-9.9,-18.8,-8.3,"[-15.3,-3.9]","[-13.7,-2.3]"
wc,82,16.766,1.0,1,16,3.8,3.1,6.5,5.6,"[-0.1,+6.7]","[+2.5,+9.1]",-22.5,-20.6,-22.5,-21.4,"[-28.8,-10.9]","[-29.7,-11.8]",15.5,-1.0,16.6,0.3,"[-6.2,+4.2]","[-5.0,+5.5]",-2.2,-2.3,-0.8,-0.9,"[-7.8,+3.9]","[-6.2,+5.0]"
oc,82,16.766,1.0,1,14,-2.0,-2.2,4.1,3.6,"[-5.9,+1.8]","[+0.2,+7.3]",-18.3,-9.3,-18.4,-9.3,"[-17.9,+0.3]","[-17.9,+0.2]",10.7,-7.7,13.9,-4.9,"[-12.5,-2.9]","[-9.8,-0.1]",20.5,19.8,27.9,26.4,"[+13.1,+25.8]","[+20.1,+32.4]"
op,42,23.941,1.0,1,15,5.9,4.7,13.1,12.3,"[-2.0,+11.6]","[+5.8,+19.1]",-13.1,-6.4,-13.1,-4.4,"[-22.4,+10.9]","[-20.3,+12.0]",11.4,-10.1,15.1,-7.1,"[-17.8,-1.2]","[-15.2,+2.2]",17.9,17.5,25.2,24.9,"[+4.3,+29.3]","[+12.3,+36.5]"
pn,82,16.766,1.0,1,16,10.4,9.0,7.1,6.1,"[+5.8,+12.8]","[+2.9,+9.7]",-22.6,-22.7,-22.6,-21.7,"[-30.9,-13.1]","[-30.0,-12.2]",19.0,2.7,17.2,0.8,"[-2.8,+8.2]","[-4.5,+6.1]",11.1,10.7,8.4,8.2,"[+3.6,+18.9]","[+1.4,+16.0]"
