variant,dbh_class,n,obs_ht_m,imp_ht_m,ht_bias%
ne,1-3 in,536,5.2,5.0,-4.1
ne,3-5 in,154,8.8,8.9,1.4
ne,5-9 in,2876,13.0,13.8,6.0
ne,9-13 in,962,17.4,18.2,4.8
ne,13-19 in,396,20.1,21.3,6.2
ne,19-40 in,82,23.9,25.1,5.0
sn,1-3 in,510,6.0,5.3,-12.6
sn,3-5 in,112,10.4,10.4,0.1
sn,5-9 in,1128,14.1,14.4,2.3
sn,9-13 in,303,20.1,19.4,-3.5
sn,13-19 in,140,25.6,23.4,-8.8
sn,19-40 in,52,29.6,26.6,-10.0
kt,1-3 in,101,4.0,4.4,10.2
kt,3-5 in,44,7.5,8.3,10.0
kt,5-9 in,637,14.0,15.4,10.5
kt,9-13 in,296,18.8,20.9,11.5
kt,13-19 in,145,23.4,25.4,8.8
kt,19-40 in,57,27.1,29.8,9.9
ie,1-3 in,127,3.5,4.1,18.6
ie,3-5 in,51,6.7,9.0,34.7
ie,5-9 in,629,13.2,15.6,18.4
ie,9-13 in,265,17.7,21.2,19.6
ie,13-19 in,184,22.7,26.1,15.2
ie,19-40 in,82,30.9,30.5,-1.3
pn,1-3 in,235,3.9,3.3,-15.3
pn,3-5 in,98,7.8,6.8,-13.2
pn,5-9 in,1489,13.5,12.3,-8.8
pn,9-13 in,768,20.3,19.9,-1.8
pn,13-19 in,460,25.1,27.3,8.6
pn,19-40 in,458,37.1,41.7,12.3
