variant,SPCD,n,recal_ratio_obs_over_imp
ne,129,256,0.979
ne,241,310,0.673
ne,375,214,0.898
ne,97,578,1.027
ne,12,758,1.061
ne,371,227,0.841
ne,833,131,0.993
ne,316,799,0.968
ne,531,356,0.86
ne,541,81,1.116
ne,372,49,1.018
ne,318,254,0.971
ne,94,99,1.009
ne,261,376,0.888
ne,95,70,0.97
ne,315,46,1.006
ne,746,104,1.03
ne,543,30,0.858
ne,743,40,1.064
ne,91,77,1.263
sn,110,34,0.961
sn,827,138,1.093
sn,611,207,1.013
sn,762,31,0.95
sn,591,22,1.056
sn,131,650,1.033
sn,693,22,0.999
sn,820,39,0.95
sn,409,47,1.08
sn,802,52,1.101
sn,121,64,0.929
sn,971,46,1.177
sn,621,24,1.05
sn,403,40,1.041
sn,832,27,1.164
sn,132,21,1.171
sn,812,24,1.037
sn,316,99,1.068
sn,694,126,0.885
sn,838,30,0.931
sn,111,113,0.893
sn,653,21,0.906
sn,129,27,1.044
sn,701,22,1.233
kt,108,302,1.002
kt,202,384,0.912
kt,19,219,0.908
kt,93,101,0.924
kt,17,71,0.92
kt,73,35,0.96
kt,101,94,0.49
ie,19,267,0.852
ie,108,241,0.916
ie,202,252,0.843
ie,101,20,0.588
ie,93,73,0.868
ie,17,273,0.842
ie,122,43,0.779
ie,242,76,0.878
ie,746,20,0.88
ie,263,20,1.119
pn,17,114,0.972
pn,73,46,1.668
pn,202,1389,0.967
pn,122,237,0.866
pn,19,29,1.542
pn,93,28,1.107
pn,108,232,1.186
pn,631,24,0.941
pn,263,453,0.942
pn,242,154,1.115
pn,119,22,0.946
pn,351,120,1.133
pn,361,43,0.844
pn,431,31,1.292
pn,11,224,0.99
pn,264,90,0.986
pn,64,76,0.999
pn,15,95,0.889
pn,81,37,0.951
pn,312,35,1.063
