variant,sp_index,sp_abbrev,eq_index,form,RD1,RD2,RD3,B0_or_A1,B1_or_A2,MCW_at_20in_ft,RD2_consistency
ak,1,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,2,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,3,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,4,,2,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,5,,2,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,6,,2,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,7,,2,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,8,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,9,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,10,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,11,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,12,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,13,,2,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,14,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,15,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,16,,2,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,17,,2,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,18,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,19,,2,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,20,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,21,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,22,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
ak,23,,1,power_mcw,nan,nan,nan,6.188,1.0069,126.345,nan
bm,1,,1,linear,0.0186,0.0146,0.00288,3.2119,1.26385,28.489,0.997
bm,2,,2,linear,0.0392,0.018,0.00207,4.6627,1.07148,26.092,0.999
bm,3,,3,linear,0.0388,0.0269,0.00466,4.6389,1.60765,36.792,1.0
bm,4,,4,linear,0.069,0.0225,0.00183,6.1862,1.00745,26.335,1.001
bm,5,,5,linear,0.03,0.018,0.00281,4.0791,1.2484,29.047,0.98
bm,6,,6,linear,0.01925,0.01676,0.00365,3.2675,1.42281,31.724,1.0
bm,7,,7,linear,0.01925,0.01676,0.00365,3.2675,1.42281,31.724,1.0
bm,8,,8,linear,0.03,0.0173,0.00259,4.0791,1.19853,28.05,0.981
bm,9,,9,linear,0.0172,0.00877,0.00112,3.0886,0.78815,18.852,0.999
bm,10,,10,linear,0.0219,0.0169,0.00325,3.4851,1.34258,30.337,1.002
bm,11,,11,linear,0.01925,0.01676,0.00365,3.2675,1.42281,31.724,1.0
bm,12,,12,linear,0.01925,0.01676,0.00365,3.2675,1.42281,31.724,1.0
bm,13,,13,linear,0.0204,0.0246,0.0074,3.3637,2.02589,43.881,1.001
bm,14,,14,linear,0.0194,0.0142,0.00261,3.2802,1.20315,27.343,0.998
bm,15,,15,linear,0.03,0.0238,0.0049,4.0791,1.64853,37.05,0.981
bm,16,,16,linear,0.0204,0.0246,0.0074,3.3637,2.02589,43.881,1.001
bm,17,,17,linear,0.0219,0.0169,0.00325,3.4851,1.34258,30.337,1.002
bm,18,,18,linear,0.0204,0.0246,0.0074,3.3637,2.02589,43.881,1.001
ci,1,,1,linear,0.03,0.0167,0.0023,4.0791,1.12944,26.668,1.005
ci,2,,2,linear,0.02,0.0148,0.00338,3.3305,1.36917,30.714,0.9
ci,3,,3,linear,0.11,0.0333,0.00259,7.8108,1.19853,31.781,0.986
ci,4,,4,linear,0.04,0.027,0.00405,4.7101,1.49874,34.685,1.061
ci,5,,5,linear,0.03,0.0215,0.00363,4.0791,1.4189,32.457,1.03
ci,6,,6,linear,0.03,0.0238,0.0049,4.0791,1.64853,37.05,0.981
ci,7,,7,linear,0.01925,0.01676,0.00365,3.2675,1.42281,31.724,1.0
ci,8,,8,linear,0.03,0.0173,0.00259,4.0791,1.19853,28.05,0.981
ci,9,,9,linear,0.03,0.0216,0.00405,4.0791,1.49874,34.054,0.98
ci,10,,10,linear,0.03,0.018,0.00281,4.0791,1.2484,29.047,0.98
ci,11,,11,linear,0.01925,0.01676,0.00365,3.2675,1.42281,31.724,1.0
ci,12,,12,linear,0.01925,0.01676,0.00365,3.2675,1.42281,31.724,1.0
ci,13,,13,linear,0.03,0.0238,0.0049,4.0791,1.64853,37.05,0.981
ci,14,,14,linear,0.01925,0.01676,0.00365,3.2675,1.42281,31.724,1.0
ci,15,,15,linear,0.0204,0.0246,0.0074,3.3637,2.02589,43.881,1.001
ci,16,,16,linear,0.01925,0.01676,0.00365,3.2675,1.42281,31.724,1.0
ci,17,,17,linear,0.03,0.0215,0.00363,4.0791,1.4189,32.457,1.03
ci,18,,18,linear,0.03,0.0215,0.00363,4.0791,1.4189,32.457,1.03
ci,19,,19,linear,0.03,0.0215,0.00363,4.0791,1.4189,32.457,1.03
cr,1,AF,1,linear,0.01925,0.01676,0.00365,3.2675,1.42281,31.724,1.0
